,Date,Open,Close,High,Low,Volume
107,2019-02-15,171.25,170.42,171.7,169.75,24626814
108,2019-02-19,169.71,170.93,171.44,169.49,18972826
109,2019-02-20,171.19,172.03,173.32,170.99,26114362
110,2019-02-21,171.8,171.06,172.37,170.3,17249670
111,2019-02-22,171.58,172.97,173.0,171.38,18913154
112,2019-02-25,174.16,174.23,175.87,173.95,21873358
113,2019-02-26,173.71,174.33,175.3,173.17,17070211
114,2019-02-27,173.21,174.87,175.0,172.73,27835389
115,2019-02-28,174.32,173.15,174.91,172.92,28215416
116,2019-03-01,174.28,174.97,175.15,172.89,25886167
117,2019-03-04,175.69,175.85,177.75,173.97,27436203
118,2019-03-05,175.94,175.53,176.0,174.54,19737419
119,2019-03-06,174.67,174.52,175.49,173.94,20810384
120,2019-03-07,173.87,172.5,174.44,172.02,24796374
121,2019-03-08,170.32,172.91,173.07,169.5,23999358
122,2019-03-11,175.49,178.9,179.12,175.35,32011034
123,2019-03-12,180.0,180.91,182.67,179.37,32467584
124,2019-03-13,182.25,181.71,183.3,180.92,31032524
125,2019-03-14,183.9,183.73,184.1,182.56,23579508
126,2019-03-15,184.85,186.12,187.33,183.74,39042912
127,2019-03-18,185.8,188.02,188.39,185.79,26219832
128,2019-03-19,188.35,186.53,188.99,185.92,31646369
129,2019-03-20,186.23,188.16,189.49,184.73,31035231
130,2019-03-21,190.02,195.09,196.33,189.81,51034237
131,2019-03-22,195.34,191.05,197.69,190.78,42407666
132,2019-03-25,191.51,188.74,191.98,186.6,43845293
133,2019-03-26,191.66,186.79,192.88,184.58,49800538
134,2019-03-27,188.75,188.47,189.76,186.55,29848427
135,2019-03-28,188.95,188.72,189.56,187.53,20780363
136,2019-03-29,189.83,189.95,190.08,188.54,23563961
137,2019-04-01,191.64,191.24,191.68,188.38,27861964
138,2019-04-02,191.09,194.02,194.46,191.05,22765732
139,2019-04-03,193.25,195.35,196.5,193.15,23271830
140,2019-04-04,194.79,195.69,196.37,193.14,19114275
141,2019-04-05,196.45,197.0,197.1,195.93,18526644
142,2019-04-08,196.42,200.1,200.23,196.34,25881697
143,2019-04-09,200.32,199.5,202.85,199.23,35768237
144,2019-04-10,198.68,200.62,200.74,198.18,21695288
145,2019-04-11,200.85,198.95,201.0,198.44,20900808
146,2019-04-12,199.2,198.87,200.14,196.21,27760668
147,2019-04-15,198.58,199.23,199.85,198.01,17536646
148,2019-04-16,199.46,199.25,201.37,198.56,25696385
149,2019-04-17,199.54,203.13,203.38,198.61,28906780
150,2019-04-18,203.12,203.86,204.15,202.52,24195766
151,2019-04-22,202.83,204.53,204.94,202.34,19439545
